日付け,終値,始値,高値,安値,出来高,前日比%
2019年9月21日,"1,290,768","1,093,999","1,094,999","1,069,100",2.19K,-1.82%
2019年9月20日,"1,172,840","1,108,999","1,112,157","1,084,650",2.48K,-1.35%
2019年9月19日,"1,156,299","1,100,344","1,118,500","1,044,513",4.70K,0.79%
2019年9月18日,"1,173,500","1,101,600","1,108,409","1,091,320",2.66K,-0.11%
2019年9月17日,"1,291,931","1,108,663","1,111,111","1,096,729",1.94K,-0.64%
2019年9月16日,"1,206,000","1,111,526","1,118,200","1,089,480",2.41K,-0.26%
2019年9月15日,"1,198,483","1,118,737","1,121,842","1,107,000",1.30K,-0.64%
2019年9月14日,"1,223,944","1,119,558","1,127,737","1,107,000",1.55K,-0.07%
2019年9月13日,"1,246,467","1,127,000","1,128,535","1,098,310",2.57K,-0.65%
2019年9月12日,"1,335,843","1,095,555","1,129,999","1,083,603",3.27K,2.86%
2019年9月11日,"1,370,000","1,086,657","1,105,000","1,063,023",3.55K,0.82%
2019年9月10日,"1,313,605","1,106,945","1,115,380","1,068,024",2.59K,-1.83%
2019年9月9日,"1,237,000","1,112,171","1,124,939","1,078,220",3.75K,-0.47%
2019年9月8日,"1,278,534","1,121,490","1,133,492","1,101,432",2.48K,-0.83%
2019年9月7日,"1,234,824","1,103,996","1,130,000","1,103,322",2.12K,1.63%
2019年9月6日,"1,103,883","1,131,641","1,170,650","1,093,342",5.75K,-2.48%
2019年9月5日,"1,177,393","1,124,541","1,135,999","1,115,000",3.77K,0.63%
2019年9月4日,"1,021,334","1,124,000","1,148,000","1,102,976",4.19K,0.06%
2019年9月3日,"1,045,283","1,102,000","1,140,850","1,090,480",6.05K,1.98%
2019年9月2日,"1,144,998","1,036,267","1,108,976","1,035,555",5.03K,6.34%
2019年9月1日,"1,134,597","1,020,001","1,043,220","1,014,636",1.94K,1.59%
2019年8月31日,"1,160,000","1,018,178","1,029,871","1,004,490",1.68K,0.18%
2019年8月30日,"1,142,766","1,011,000","1,030,999","997,049",2.91K,0.71%
2019年8月29日,"1,114,925","1,032,192","1,032,344","990,578",5.03K,-2.05%
2019年8月28日,"1,067,523","1,075,910","1,088,200","1,013,400",5.59K,-4.06%
